name;
IBM Research , San Jose, California;
Technical Rep. UKSC 0060, IBM United Kingdom Scientific Centre;
technical Report 248, ETH Zürich, Dept. of Computer Science;
In: R. Rustin (ed.): Database Systems: 65-98, Prentice Hall and IBM Research Report RJ 987, San Jose;
Hydrology and Earth System Sciences;
Compulog Newsletter;
Wikipedia;
Foundations and Trends in Communications and Information Theory;
ACM Crossroads;
IEEE T. Instrumentation and Measurement;
The American Mathematical Monthly;
