key;title;mdate;year;publtype;pages;url;ee;bookKey
reference/algo/X08dh;Weighted Caching.;2011-11-25;2008;encyclopedia entry;;db/reference/algo/algo2008.html#X08dh;http://dx.doi.org/10.1007/978-0-387-30162-4_475;reference/algo/2008
reference/algo/X08al;Extremal Problems.;2011-11-25;2008;encyclopedia entry;;db/reference/algo/algo2008.html#X08al;http://dx.doi.org/10.1007/978-0-387-30162-4_138;reference/algo/2008
reference/algo/FisherB08;Rate-Monotonic Scheduling.;2011-11-25;2008;encyclopedia entry;;db/reference/algo/algo2008.html#FisherB08;http://dx.doi.org/10.1007/978-0-387-30162-4_334;reference/algo/2008
reference/algo/Chekuri08;Multicommodity Flow, Well-linked Terminals and Routing Problems.;2011-11-25;2008;encyclopedia entry;;db/reference/algo/algo2008.html#Chekuri08;http://dx.doi.org/10.1007/978-0-387-30162-4_244;reference/algo/2008
reference/algo/KimWWT15;Fault-Tolerant Connected Dominating Set.;2015-01-18;2015;encyclopedia entry;;db/reference/algo/algo2015.html#KimWWT15;http://dx.doi.org/10.1007/978-3-642-27848-8_622-1;reference/algo/2015
reference/algo/X08dg;Weighted Bipartite Matching.;2011-11-25;2008;encyclopedia entry;;db/reference/algo/algo2008.html#X08dg;http://dx.doi.org/10.1007/978-0-387-30162-4_474;reference/algo/2008
reference/algo/Wang08a;O(log log n)-competitive Binary Search Tree.;2011-11-25;2008;encyclopedia entry;;db/reference/algo/algo2008.html#Wang08a;http://dx.doi.org/10.1007/978-0-387-30162-4_263;reference/algo/2008
reference/algo/Lopez-Ortiz15;Alternative Performance Measures in Online Algorithms.;2015-01-18;2015;encyclopedia entry;;db/reference/algo/algo2015.html#Lopez-Ortiz15;http://dx.doi.org/10.1007/978-3-642-27848-8_13-2;reference/algo/2015
reference/algo/YapS08;Robust Geometric Computation.;2013-04-29;2008;encyclopedia entry;;db/reference/algo/algo2008.html#YapS08;http://dx.doi.org/10.1007/978-0-387-30162-4_349;reference/algo/2008
reference/algo/Cormode15;AMS Sketch.;2015-01-18;2015;encyclopedia entry;;db/reference/algo/algo2015.html#Cormode15;http://dx.doi.org/10.1007/978-3-642-27848-8_578-1;reference/algo/2015
reference/algo/Navarro08;Approximate Regular Expression Matching.;2011-11-25;2008;encyclopedia entry;;db/reference/algo/algo2008.html#Navarro08;http://dx.doi.org/10.1007/978-0-387-30162-4_22;reference/algo/2008
reference/algo/Vitter08;External Sorting and Permuting.;2011-11-25;2008;encyclopedia entry;;db/reference/algo/algo2008.html#Vitter08;http://dx.doi.org/10.1007/978-0-387-30162-4_137;reference/algo/2008
reference/algo/Kreutzer15;Nowhere Crownful Classes of Directed Graphs.;2015-01-18;2015;encyclopedia entry;;db/reference/algo/algo2015.html#Kreutzer15;http://dx.doi.org/10.1007/978-3-642-27848-8_694-1;reference/algo/2015
reference/algo/Kuhn08;Local Approximation of Covering and Packing Problems.;2011-11-25;2008;encyclopedia entry;;db/reference/algo/algo2008.html#Kuhn08;http://dx.doi.org/10.1007/978-0-387-30162-4_209;reference/algo/2008
