;inproceedings_dblp100;mdate;key;author;author.1;author2;title;pages;year;booktitle;__len;crossref;url;ee;author3;author4;author5;number;author6;author7;author8
1278;1301.0;2013-06-17;journals/procedia/DabkowskiERV13;Matthew Dabkowski;Jose Estrada;Ben Reidy;Network Science Enabled Cost Estimation in Support of MBSE.;89-97;2013.0;CSER;1613.0;conf/cser/2013;db/journals/procedia/procedia16.html#DabkowskiERV13;http://dx.doi.org/10.1016/j.procs.2013.01.010;Ricardo Valerdi;;;;;;3626
1279;1302.0;2013-07-10;journals/procedia/KlimekN12;Jakub Klímek;Martin Necaský;;On Inheritance in Conceptual Modeling for XML.;54-61;2012.0;ANT/MobiWIS;1613.0;conf/ant/2012;db/journals/procedia/procedia10.html#KlimekN12;http://dx.doi.org/10.1016/j.procs.2012.06.011;;;;;;;3625
1280;1303.0;2013-11-28;journals/procedia/NussbaumHJH12;Paul A. Nussbaum;Alfred Herrera;Rounak Joshi;Analysis of Viewer EEG Data to Determine Categorization of Short Video Clip.;158-163;2012.0;Complex Adaptive Systems;1613.0;conf/complexsystems/2012;db/journals/procedia/procedia12.html#NussbaumHJH12;http://dx.doi.org/10.1016/j.procs.2012.09.047;Rosalyn Hobson Hargraves;;;;;;3625
1281;1304.0;2013-06-17;journals/procedia/BoehmLKT13;Barry W. Boehm;Jo Ann Lane;Supannika Koolmanojwong;An Evidence-based Systems Engineering (SE) Data Item Description.;898-907;2013.0;CSER;1613.0;conf/cser/2013;db/journals/procedia/procedia16.html#BoehmLKT13;http://dx.doi.org/10.1016/j.procs.2013.01.094;Richard Turner;;;;;;3626
1282;1305.0;2013-06-17;journals/procedia/PadrosRU12;Ariadna Padrós;Margarida Romero;Mireia Usart;Measuring the Knowledge Convergence Process in the Collaborative Game MetaVals.;193-202;2012.0;VS-GAMES;1613.0;conf/vsgames/2012;db/journals/procedia/procedia15.html#PadrosRU12;http://dx.doi.org/10.1016/j.procs.2012.10.071;;;;;;;3625
1283;1306.0;2014-02-24;journals/procedia/SinghSJLB12;Kumaresh Singh;Adrian Sandu;M. Jardak;Information Theoretic Metrics to Characterize Observations in Variational Data Assimilation.;1047-1055;2012.0;ICCS;1613.0;conf/iccS/2012;db/journals/procedia/procedia9.html#SinghSJLB12;http://dx.doi.org/10.1016/j.procs.2012.04.113;Meemong Lee;Kevin W. Bowman;;;;;3625
1284;1307.0;2013-11-28;journals/procedia/MoriF11;Hiroyuki Mori;Hajime Fujita;;Development of Hybrid-Coded EPSO for Optimal Allocation of FACTS Devices in Uncertain Smart Grids.;429-434;2011.0;Complex Adaptive Systems;1613.0;conf/complexsystems/2011;db/journals/procedia/procedia6.html#MoriF11;http://dx.doi.org/10.1016/j.procs.2011.08.081;;;;;;;3624
1285;1308.0;2013-06-05;journals/procedia/AllaireBCGKW12;Douglas L. Allaire;George Biros;J. Chambers;Dynamic Data Driven Methods for Self-aware Aerospace Vehicles.;1206-1210;2012.0;ICCS;1613.0;conf/iccS/2012;db/journals/procedia/procedia9.html#AllaireBCGKW12;http://dx.doi.org/10.1016/j.procs.2012.04.130;Omar Ghattas;D. Kordonowy;Karen Willcox;;;;3625
1286;1309.0;2013-07-10;journals/procedia/BallariniBM12;Paolo Ballarini;Jalel Ben-Othman;Lynda Mokdad;Quantitative Verification of WiMAX Traffic Shaping Solutions.;1026-1031;2012.0;ANT/MobiWIS;1613.0;conf/ant/2012;db/journals/procedia/procedia10.html#BallariniBM12;http://dx.doi.org/10.1016/j.procs.2012.06.142;;;;;;;3625
1287;1310.0;2013-06-05;journals/procedia/ImamuraKN11;Yutaka Imamura;Rie Kobayashi;Hiromi Nakai;Construction of orbital-specific hybrid functional by imposing the linearity condition for orbital energies in density functional theory.;1151-1156;2011.0;ICCS;1613.0;conf/iccS/2011;db/journals/procedia/procedia4.html#ImamuraKN11;http://dx.doi.org/10.1016/j.procs.2011.04.123;;;;;;;3624
