;inproceedings_dblp100;mdate;key;author;author.1;author2;title;pages;year;booktitle;__len;crossref;url;ee;author3;author4;author5;number;author6;author7;author8
0;1.0;2011-06-14;journals/lncs/CarstensenS91;Kai-Uwe Carstensen;Geoffrey Simmons;;Why a Hill Can't be a Valley: Representing Gestalt and Position Properties of Objects with Object Schemata.;632-644;1991.0;Text Understanding in LILOG;1613.0;journals/lncs/1991-546;db/journals/lncs/lncs546.html#CarstensenS91;http://dx.doi.org/10.1007/3-540-54594-8_83;;;;;;;
1;2.0;2011-06-14;journals/lncs/Erbach91;Gregor Erbach;;;A Flexible Parser for a Linguistic Development Environment.;74-87;1991.0;Text Understanding in LILOG;1613.0;journals/lncs/1991-546;db/journals/lncs/lncs546.html#Erbach91;http://dx.doi.org/10.1007/3-540-54594-8_53;;;;;;;
2;3.0;2011-06-14;journals/lncs/CodognetN94;Philippe Codognet;Giuseppe Nardiello;;Enhancing the Constraint-Solving Power of CLP(FD) by Means of Path-Consistency Methods;39-61;1994.0;Constraint Programming;1613.0;journals/lncs/1994-910;db/journals/lncs/lncs910.html#CodognetN94;http://dx.doi.org/10.1007/3-540-59155-9_3;;;;;;;
3;4.0;2011-06-14;journals/lncs/Kanngiesser91;Siegfried Kanngießer;;;Outlines of LEU/2 Lexicology.;105-111;1991.0;Text Understanding in LILOG;1613.0;journals/lncs/1991-546;db/journals/lncs/lncs546.html#Kanngiesser91;http://dx.doi.org/10.1007/3-540-54594-8_55;;;;;;;
4;5.0;2011-06-14;journals/lncs/Lang91;Ewald Lang;;;The LILOG Ontology from a Linguistic Point of View.;464-481;1991.0;Text Understanding in LILOG;1613.0;journals/lncs/1991-546;db/journals/lncs/lncs546.html#Lang91;http://dx.doi.org/10.1007/3-540-54594-8_76;;;;;;;
5;6.0;2011-06-14;journals/lncs/Comon94;Hubert Comon;;;Constraints in Term Algebras: An Overview of Constraint Solving Techniques;62-67;1994.0;Constraint Programming;1613.0;journals/lncs/1994-910;db/journals/lncs/lncs910.html#Comon94;http://dx.doi.org/10.1007/3-540-59155-9_4;;;;;;;
6;7.0;2011-06-14;journals/lncs/MontanariR94;Ugo Montanari;Francesca Rossi;;Concurrency and Concurrent Constraint Programming;171-192;1994.0;Constraint Programming;1613.0;journals/lncs/1994-910;db/journals/lncs/lncs910.html#MontanariR94;http://dx.doi.org/10.1007/3-540-59155-9_10;;;;;;;
7;8.0;2011-06-14;journals/lncs/GhafoorB93;Arif Ghafoor;P. Bruce Berra;;Multimedia Database Systems.;397-411;1993.0;Advanced Database Systems;1613.0;journals/lncs/1993-759;db/journals/lncs/lncs759.html#GhafoorB93;http://dx.doi.org/10.1007/3-540-57507-3_20;;;;;;;
8;9.0;2011-06-14;journals/lncs/SandtG91;Rob A. van der Sandt;Bart Geurts;;Presupposition, Anaphora, and Lexical Content.;259-296;1991.0;Text Understanding in LILOG;1613.0;journals/lncs/1991-546;db/journals/lncs/lncs546.html#SandtG91;http://dx.doi.org/10.1007/3-540-54594-8_65;;;;;;;
9;10.0;2011-06-14;journals/lncs/Bosch91;Peter Bosch;;;The Bermuda Triangle: Natural Language Semantics Between Linguistics, Knowledge Representation, and Knowledge Processing.;243-258;1991.0;Text Understanding in LILOG;1613.0;journals/lncs/1991-546;db/journals/lncs/lncs546.html#Bosch91;http://dx.doi.org/10.1007/3-540-54594-8_64;;;;;;;
10;11.0;2011-06-14;journals/lncs/Habel91;Christopher Habel;;;Processing of Spatial Expressions in LILOG.;598-608;1991.0;Text Understanding in LILOG;1613.0;journals/lncs/1991-546;db/journals/lncs/lncs546.html#Habel91;http://dx.doi.org/10.1007/3-540-54594-8_80;;;;;;;
11;12.0;2011-06-14;journals/lncs/Imbert94;Jean-Louis Imbert;;;Linear Constraint Solving in CLP-Languages;108-127;1994.0;Constraint Programming;1613.0;journals/lncs/1994-910;db/journals/lncs/lncs910.html#Imbert94;http://dx.doi.org/10.1007/3-540-59155-9_7;;;;;;;
12;13.0;2011-06-14;journals/lncs/SiegelmannF93;Hava T. Siegelmann;Ophir Frieder;;Document Allocation In Multiprocessor Information Retrieval Systems.;289-310;1993.0;Advanced Database Systems;1613.0;journals/lncs/1993-759;db/journals/lncs/lncs759.html#SiegelmannF93;http://dx.doi.org/10.1007/3-540-57507-3_15;;;;;;;
13;14.0;2011-06-14;journals/lncs/Gust91;Helmar Gust;;;Representing Word Meanings.;127-142;1991.0;Text Understanding in LILOG;1613.0;journals/lncs/1991-546;db/journals/lncs/lncs546.html#Gust91;http://dx.doi.org/10.1007/3-540-54594-8_57;;;;;;;
14;15.0;2011-06-14;journals/lncs/RollingerH91;Claus-Rainer Rollinger;Otthein Herzog;;Introducing LILOG.;3-13;1991.0;Text Understanding in LILOG;1613.0;journals/lncs/1991-546;db/journals/lncs/lncs546.html#RollingerH91;http://dx.doi.org/10.1007/3-540-54594-8_46;;;;;;;
15;16.0;2011-06-14;journals/lncs/Konig91;Esther König;;;Gap-Handling Mechanisma In Categorial Grammars.;88-101;1991.0;Text Understanding in LILOG;1613.0;journals/lncs/1991-546;db/journals/lncs/lncs546.html#Konig91;http://dx.doi.org/10.1007/3-540-54594-8_54;;;;;;;
16;17.0;2011-06-14;journals/lncs/ElmasriK93;Ramez Elmasri;Vram Kouramajian;;A Temporal Query Language For A Conceptual Model.;175-190;1993.0;Advanced Database Systems;1613.0;journals/lncs/1993-759;db/journals/lncs/lncs759.html#ElmasriK93;http://dx.doi.org/10.1007/3-540-57507-3_9;;;;;;;
17;18.0;2011-06-14;journals/lncs/AngeleFLNS91;Jürgen Angele;Dieter Fensel;Dieter Landes;Knowledge Engineering in the Context of Related Fields of Research.;490-500;1991.0;Text Understanding in LILOG;1613.0;journals/lncs/1991-546;db/journals/lncs/lncs546.html#AngeleFLNS91;http://dx.doi.org/10.1007/3-540-54594-8_78;Susanne Neubert;Rudi Studer;;;;;
18;19.0;2011-06-14;journals/lncs/VadapartyN93;Kumar V. Vadaparty;Shamim A. Naqvi;;The Decomposition Property of Non-Deterministic Databases.;45-63;1993.0;Advanced Database Systems;1613.0;journals/lncs/1993-759;db/journals/lncs/lncs759.html#VadapartyN93;http://dx.doi.org/10.1007/3-540-57507-3_3;;;;;;;
19;20.0;2011-06-14;journals/lncs/Eberle91;Kurt Eberle;;;On Representing the Temporal Structure of Texts.;313-341;1991.0;Text Understanding in LILOG;1613.0;journals/lncs/1991-546;db/journals/lncs/lncs546.html#Eberle91;http://dx.doi.org/10.1007/3-540-54594-8_67;;;;;;;
20;21.0;2011-06-14;journals/lncs/Pribbenow91;Simone Pribbenow;;;Phenomena of Localization.;609-620;1991.0;Text Understanding in LILOG;1613.0;journals/lncs/1991-546;db/journals/lncs/lncs546.html#Pribbenow91;http://dx.doi.org/10.1007/3-540-54594-8_81;;;;;;;
21;22.0;2011-06-14;journals/lncs/AnderssonDSYTY93;Martin Andersson;Yann Dupont;Stefano Spaccapietra;FEMUS: A Federated Multilingual Database System.;359-380;1993.0;Advanced Database Systems;1613.0;journals/lncs/1993-759;db/journals/lncs/lncs759.html#AnderssonDSYTY93;http://dx.doi.org/10.1007/3-540-57507-3_18;Kokou Yétongnon;Markus Tresch;Haiyan Ye;;;;
22;23.0;2011-06-14;journals/lncs/Tewari93;Raj Tewari;;;Efficient Parallel Recovery in Replicated Databases.;277-287;1993.0;Advanced Database Systems;1613.0;journals/lncs/1993-759;db/journals/lncs/lncs759.html#Tewari93;http://dx.doi.org/10.1007/3-540-57507-3_14;;;;;;;
23;24.0;2011-06-14;journals/lncs/KarabatisRS93;George Karabatis;Marek Rusinkiewicz;Amit P. Sheth;Correctness and Enforcement of Multidatabase Interdependencies.;337-358;1993.0;Advanced Database Systems;1613.0;journals/lncs/1993-759;db/journals/lncs/lncs759.html#KarabatisRS93;http://dx.doi.org/10.1007/3-540-57507-3_17;;;;;;;
24;25.0;2011-06-14;journals/lncs/FlaterY93;David W. Flater;Yelena Yesha;;Towards Flexible Distributed Information Retrieval.;259-276;1993.0;Advanced Database Systems;1613.0;journals/lncs/1993-759;db/journals/lncs/lncs759.html#FlaterY93;http://dx.doi.org/10.1007/3-540-57507-3_13;;;;;;;
25;26.0;2011-06-14;journals/lncs/KissW91;Tibor Kiss;Birgit Wesche;;Verb Order and Head Movement.;216-240;1991.0;Text Understanding in LILOG;1613.0;journals/lncs/1991-546;db/journals/lncs/lncs546.html#KissW91;http://dx.doi.org/10.1007/3-540-54594-8_63;;;;;;;
26;27.0;2011-06-14;journals/lncs/Schmitt91;Peter H. Schmitt;;;Deductive Aspects of Three-Valued Logic.;394-401;1991.0;Text Understanding in LILOG;1613.0;journals/lncs/1991-546;db/journals/lncs/lncs546.html#Schmitt91;http://dx.doi.org/10.1007/3-540-54594-8_71;;;;;;;
27;28.0;2011-06-14;journals/lncs/Mayer91;Rolf Mayer;;;Anaphora and Domain Restriction.;297-312;1991.0;Text Understanding in LILOG;1613.0;journals/lncs/1991-546;db/journals/lncs/lncs546.html#Mayer91;http://dx.doi.org/10.1007/3-540-54594-8_66;;;;;;;
28;29.0;2011-06-14;journals/lncs/YuCWT93;Philip S. Yu;Ming-Syan Chen;Joel L. Wolf;Parallel Query Processing.;229-258;1993.0;Advanced Database Systems;1613.0;journals/lncs/1993-759;db/journals/lncs/lncs759.html#YuCWT93;http://dx.doi.org/10.1007/3-540-57507-3_12;John Turek;;;;;;
29;30.0;2011-06-14;journals/lncs/Seifert91;Roland Seiffert;;;Chart-Parsing of STUF Grammars.;51-54;1991.0;Text Understanding in LILOG;1613.0;journals/lncs/1991-546;db/journals/lncs/lncs546.html#Seifert91;http://dx.doi.org/10.1007/3-540-54594-8_50;;;;;;;
30;31.0;2011-06-14;journals/lncs/Rauzy94;Antoine Rauzy;;;Toupie: a Constraint Language for Model Checking;193-208;1994.0;Constraint Programming;1613.0;journals/lncs/1994-910;db/journals/lncs/lncs910.html#Rauzy94;http://dx.doi.org/10.1007/3-540-59155-9_11;;;;;;;
31;32.0;2011-06-14;journals/lncs/Clifford93;James Clifford;;;Indexical Databases.;153-173;1993.0;Advanced Database Systems;1613.0;journals/lncs/1993-759;db/journals/lncs/lncs759.html#Clifford93;http://dx.doi.org/10.1007/3-540-57507-3_8;;;;;;;
32;33.0;2011-06-14;journals/lncs/FranchittiK93;Jean-Claude Franchitti;Roger King;;Amalgame: A Tool for Creating Interoperating, Persistent, Heterogeneous Components.;313-336;1993.0;Advanced Database Systems;1613.0;journals/lncs/1993-759;db/journals/lncs/lncs759.html#FranchittiK93;http://dx.doi.org/10.1007/3-540-57507-3_16;;;;;;;
33;34.0;2011-06-14;journals/lncs/GehaniJS93;Narain H. Gehani;H. V. Jagadish;Oded Shmueli;COMPOSE: A System For Composite Specification And Detection.;3-15;1993.0;Advanced Database Systems;1613.0;journals/lncs/1993-759;db/journals/lncs/lncs759.html#GehaniJS93;http://dx.doi.org/10.1007/3-540-57507-3_1;;;;;;;
34;35.0;2011-06-14;journals/lncs/GadiaC93;Shashi K. Gadia;Vimal Chopra;;A Relational Model and SQL-like Query Language for Spatial Databases.;213-225;1993.0;Advanced Database Systems;1613.0;journals/lncs/1993-759;db/journals/lncs/lncs759.html#GadiaC93;http://dx.doi.org/10.1007/3-540-57507-3_11;;;;;;;
35;36.0;2011-06-14;journals/lncs/SegevC93;Arie Segev;Rakesh Chandra;;A Data Model for Time-Series Analysis.;191-212;1993.0;Advanced Database Systems;1613.0;journals/lncs/1993-759;db/journals/lncs/lncs759.html#SegevC93;http://dx.doi.org/10.1007/3-540-57507-3_10;;;;;;;
36;37.0;2011-06-14;journals/lncs/Dorre91;Jochen Dörre;;;The Language STUF.;39-50;1991.0;Text Understanding in LILOG;1613.0;journals/lncs/1991-546;db/journals/lncs/lncs546.html#Dorre91;http://dx.doi.org/10.1007/3-540-54594-8_49;;;;;;;
37;38.0;2011-06-14;journals/lncs/Seifert91a;Roland Seiffert;;;Unification-ID/LP Grammars: Formalization and Parsing.;63-73;1991.0;Text Understanding in LILOG;1613.0;journals/lncs/1991-546;db/journals/lncs/lncs546.html#Seifert91a;http://dx.doi.org/10.1007/3-540-54594-8_52;;;;;;;
38;39.0;2011-06-14;journals/lncs/KloseL91;Gudrun Klose;Kai von Luck;;The Background Knowledge of the LILOG System.;455-463;1991.0;Text Understanding in LILOG;1613.0;journals/lncs/1991-546;db/journals/lncs/lncs546.html#KloseL91;http://dx.doi.org/10.1007/3-540-54594-8_75;;;;;;;
39;40.0;2011-06-14;journals/lncs/Emde91;Werner Emde;;;Managing Lexical Knowledge in LEU/2.;167-179;1991.0;Text Understanding in LILOG;1613.0;journals/lncs/1991-546;db/journals/lncs/lncs546.html#Emde91;http://dx.doi.org/10.1007/3-540-54594-8_60;;;;;;;
40;41.0;2011-06-14;journals/lncs/Blasius91;Karl-Hans Bläsius;;;Knowledge Based Control of the LILOG Inference Engine: Kinds of Metaknowledge.;428-438;1991.0;Text Understanding in LILOG;1613.0;journals/lncs/1991-546;db/journals/lncs/lncs546.html#Blasius91;http://dx.doi.org/10.1007/3-540-54594-8_73;;;;;;;
41;42.0;2011-06-14;journals/lncs/Fages94;François Fages;;;Constructive Negation by Pruning and Optimizing Higher-Order Predicates for CLP and CC Languages;68-89;1994.0;Constraint Programming;1613.0;journals/lncs/1994-910;db/journals/lncs/lncs910.html#Fages94;http://dx.doi.org/10.1007/3-540-59155-9_5;;;;;;;
42;43.0;2011-06-14;journals/lncs/Wesche91;Birgit Wesche;;;An Alternative Phrase Structure Account of Symmetric Coordination.;200-215;1991.0;Text Understanding in LILOG;1613.0;journals/lncs/1991-546;db/journals/lncs/lncs546.html#Wesche91;http://dx.doi.org/10.1007/3-540-54594-8_62;;;;;;;
43;44.0;2011-06-14;journals/lncs/Khenkhar91;Mohammed Nadjib Khenkhar;;;Object-Oriented Representation of Depictions on the Basis of Cell Matrices.;645-656;1991.0;Text Understanding in LILOG;1613.0;journals/lncs/1991-546;db/journals/lncs/lncs546.html#Khenkhar91;http://dx.doi.org/10.1007/3-540-54594-8_84;;;;;;;
44;45.0;2011-06-14;journals/lncs/DobesN91;Zuzana Krifka Dobes;Hans-Joachim Novak;;from Knowledge Structures to Text Structures.;670-684;1991.0;Text Understanding in LILOG;1613.0;journals/lncs/1991-546;db/journals/lncs/lncs546.html#DobesN91;http://dx.doi.org/10.1007/3-540-54594-8_86;;;;;;;
45;46.0;2013-05-08;journals/lncs/BenzschawelGLLMW91;Stefan Benzschawel;Erich Gehlen;Michael Ley;LILOG-DB: Database Support for Knowledge Based Systems.;501-594;1991.0;Text Understanding in LILOG;1613.0;journals/lncs/1991-546;db/journals/lncs/lncs546.html#BenzschawelGLLMW91;http://dx.doi.org/10.1007/3-540-54594-8_79;Thomas Ludwig 0001;Albert Maier;Bernd Walter;;;;
46;47.0;2011-06-14;journals/lncs/Kiss91;Tibor Kiss;;;The Grammars of LILOG.;183-199;1991.0;Text Understanding in LILOG;1613.0;journals/lncs/1991-546;db/journals/lncs/lncs546.html#Kiss91;http://dx.doi.org/10.1007/3-540-54594-8_61;;;;;;;
47;48.0;2011-06-14;journals/lncs/DorreS91;Jochen Dörre;Roland Seiffert;;A Formalism for Natural Language - STUF.;33-38;1991.0;Text Understanding in LILOG;1613.0;journals/lncs/1991-546;db/journals/lncs/lncs546.html#DorreS91;http://dx.doi.org/10.1007/3-540-54594-8_48;;;;;;;
48;49.0;2011-06-14;journals/lncs/BertinoJS93;Elisa Bertino;Sushil Jajodia;Pierangela Samarati;Access Control in Object-Oriented Database Systems - Some Approaches and Issues.;17-44;1993.0;Advanced Database Systems;1613.0;journals/lncs/1993-759;db/journals/lncs/lncs759.html#BertinoJS93;http://dx.doi.org/10.1007/3-540-57507-3_2;;;;;;;
49;50.0;2011-06-14;journals/lncs/Rueher94;Michel Rueher;;;An Architecture for Cooperating Constraint Solvers on Reals;231-250;1994.0;Constraint Programming;1613.0;journals/lncs/1994-910;db/journals/lncs/lncs910.html#Rueher94;http://dx.doi.org/10.1007/3-540-59155-9_13;;;;;;;
50;51.0;2011-06-14;journals/lncs/SubramanianA93;Ramesh Subramanian;Nabil R. Adam;;Applying OOAD in the Design and Implementation of an Intelligent Geographic Information System.;127-150;1993.0;Advanced Database Systems;1613.0;journals/lncs/1993-759;db/journals/lncs/lncs759.html#SubramanianA93;http://dx.doi.org/10.1007/3-540-57507-3_7;;;;;;;
51;52.0;2011-06-14;journals/lncs/Smolka94;Gert Smolka;;;The Definition of Kernel Oz;251-292;1994.0;Constraint Programming;1613.0;journals/lncs/1994-910;db/journals/lncs/lncs910.html#Smolka94;http://dx.doi.org/10.1007/3-540-59155-9_14;;;;;;;
52;53.0;2011-06-14;journals/lncs/NebelS91;Bernhard Nebel;Gert Smolka;;Attribute Description Formalisms ... and the Rest of the World.;439-452;1991.0;Text Understanding in LILOG;1613.0;journals/lncs/1991-546;db/journals/lncs/lncs546.html#NebelS91;http://dx.doi.org/10.1007/3-540-54594-8_74;;;;;;;
53;54.0;2011-06-14;journals/lncs/Fruhwirth94;Thom W. Frühwirth;;;Constraint Handling Rules;90-107;1994.0;Constraint Programming;1613.0;journals/lncs/1994-910;db/journals/lncs/lncs910.html#Fruhwirth94;http://dx.doi.org/10.1007/3-540-59155-9_6;;;;;;;
54;55.0;2011-06-14;journals/lncs/Bockmayr94;Alexander Bockmayr;;;Solving Pseudo-Boolean Constraints;22-38;1994.0;Constraint Programming;1613.0;journals/lncs/1994-910;db/journals/lncs/lncs910.html#Bockmayr94;http://dx.doi.org/10.1007/3-540-59155-9_2;;;;;;;
55;56.0;2011-06-14;journals/lncs/Arning91;Andreas Arning;;;The Trace of Building a Large AI System.;719-733;1991.0;Text Understanding in LILOG;1613.0;journals/lncs/1991-546;db/journals/lncs/lncs546.html#Arning91;http://dx.doi.org/10.1007/3-540-54594-8_90;;;;;;;
56;57.0;2011-06-14;journals/lncs/LinkS91;Godehard Link;Hinrich Schütze;;The Treatment of Plurality in L-LILOG.;342-352;1991.0;Text Understanding in LILOG;1613.0;journals/lncs/1991-546;db/journals/lncs/lncs546.html#LinkS91;http://dx.doi.org/10.1007/3-540-54594-8_68;;;;;;;
57;58.0;2011-06-14;journals/lncs/Wilms91;Jan Wilms;;;The Text Understanding System LEU/2.;711-718;1991.0;Text Understanding in LILOG;1613.0;journals/lncs/1991-546;db/journals/lncs/lncs546.html#Wilms91;http://dx.doi.org/10.1007/3-540-54594-8_89;;;;;;;
58;59.0;2011-06-14;journals/lncs/SuS93;Stanley Y. W. Su;Yuh-Ming Shyy;;An Object-Oriented Knowledge Model for KBMS-supported Evolutioinary Prototyping of Software Systems.;105-125;1993.0;Advanced Database Systems;1613.0;journals/lncs/1993-759;db/journals/lncs/lncs759.html#SuS93;http://dx.doi.org/10.1007/3-540-57507-3_6;;;;;;;
59;60.0;2011-06-14;journals/lncs/Wendholt91;Birgit Wendholt;;;The Formulator.;685-700;1991.0;Text Understanding in LILOG;1613.0;journals/lncs/1991-546;db/journals/lncs/lncs546.html#Wendholt91;http://dx.doi.org/10.1007/3-540-54594-8_87;;;;;;;
60;61.0;2011-06-14;journals/lncs/LuckP91;Kai von Luck;Thomas Pirlein;;Constructing a Context for LEU/2.;703-710;1991.0;Text Understanding in LILOG;1613.0;journals/lncs/1991-546;db/journals/lncs/lncs546.html#LuckP91;http://dx.doi.org/10.1007/3-540-54594-8_88;;;;;;;
61;62.0;2011-06-14;journals/lncs/BrauerLS91;Wilfried Brauer;Peter C. Lockemann;Helmut Schnelle;Text Understanding - The Challenges to Come.;14-28;1991.0;Text Understanding in LILOG;1613.0;journals/lncs/1991-546;db/journals/lncs/lncs546.html#BrauerLS91;http://dx.doi.org/10.1007/3-540-54594-8_47;;;;;;;
62;63.0;2011-06-14;journals/lncs/Charlier94;Baudouin Le Charlier;;;Abstract Interpretation and Finite Domain Symbolic Constraints;147-170;1994.0;Constraint Programming;1613.0;journals/lncs/1994-910;db/journals/lncs/lncs910.html#Charlier94;http://dx.doi.org/10.1007/3-540-59155-9_9;;;;;;;
63;64.0;2011-06-14;journals/lncs/Maienborn91;Claudia Maienborn;;;Verbs of Motion and Position: On the Optionality of the Local Argument.;621-631;1991.0;Text Understanding in LILOG;1613.0;journals/lncs/1991-546;db/journals/lncs/lncs546.html#Maienborn91;http://dx.doi.org/10.1007/3-540-54594-8_82;;;;;;;
64;65.0;2011-06-14;journals/lncs/Rickheit91;Mechthild Rickheit;;;Sortal Information in Lexical Concepts.;143-152;1991.0;Text Understanding in LILOG;1613.0;journals/lncs/1991-546;db/journals/lncs/lncs546.html#Rickheit91;http://dx.doi.org/10.1007/3-540-54594-8_58;;;;;;;
65;66.0;2011-06-14;journals/lncs/HentenryckSD94;Pascal Van Hentenryck;Vijay A. Saraswat;Yves Deville;Design, Implementation, and Evaluation of the Constraint Language cc(FD);293-316;1994.0;Constraint Programming;1613.0;journals/lncs/1994-910;db/journals/lncs/lncs910.html#HentenryckSD94;http://dx.doi.org/10.1007/3-540-59155-9_15;;;;;;;
66;67.0;2011-06-14;journals/lncs/Pletat91;Udo Pletat;;;The Knowledge Representation Language L-LILOG.;357-379;1991.0;Text Understanding in LILOG;1613.0;journals/lncs/1991-546;db/journals/lncs/lncs546.html#Pletat91;http://dx.doi.org/10.1007/3-540-54594-8_69;;;;;;;
67;68.0;2011-06-14;journals/lncs/BhargavaJSD93;Bharat K. Bhargava;Yin-he Jiang;Jagannathan Srinivasan;Transition From A Relation To Object Model Implementation.;87-103;1993.0;Advanced Database Systems;1613.0;journals/lncs/1993-759;db/journals/lncs/lncs759.html#BhargavaJSD93;http://dx.doi.org/10.1007/3-540-57507-3_5;Prasun Dewan;;;;;;
68;69.0;2011-06-14;journals/lncs/Ridoux94;Olivier Ridoux;;;Imagining CLP(A, equiv alpha beta);209-230;1994.0;Constraint Programming;1613.0;journals/lncs/1994-910;db/journals/lncs/lncs910.html#Ridoux94;http://dx.doi.org/10.1007/3-540-59155-9_12;;;;;;;
69;70.0;2011-06-14;journals/lncs/BollingerLP91;Toni Bollinger;Sven Lorenz;Udo Pletat;The LILOG Inference Engine.;402-427;1991.0;Text Understanding in LILOG;1613.0;journals/lncs/1991-546;db/journals/lncs/lncs546.html#BollingerLP91;http://dx.doi.org/10.1007/3-540-54594-8_72;;;;;;;
70;71.0;2011-06-14;journals/lncs/Novak91;Hans-Joachim Novak;;;Integrating a Generation Component into a Natural Language Understanding System.;659-669;1991.0;Text Understanding in LILOG;1613.0;journals/lncs/1991-546;db/journals/lncs/lncs546.html#Novak91;http://dx.doi.org/10.1007/3-540-54594-8_85;;;;;;;
71;72.0;2011-06-14;journals/lncs/DorreR91;Jochen Dörre;Ingo Raasch;;The STUF Workbench.;55-62;1991.0;Text Understanding in LILOG;1613.0;journals/lncs/1991-546;db/journals/lncs/lncs546.html#DorreR91;http://dx.doi.org/10.1007/3-540-54594-8_51;;;;;;;
72;73.0;2011-06-14;journals/lncs/Ludewig91;Petra Ludewig;;;Incremental Vocabulary Extensions in Text Understanding Systems.;153-166;1991.0;Text Understanding in LILOG;1613.0;journals/lncs/1991-546;db/journals/lncs/lncs546.html#Ludewig91;http://dx.doi.org/10.1007/3-540-54594-8_59;;;;;;;
73;74.0;2011-06-14;journals/lncs/Benhamou94;Frédéric Benhamou;;;Interval Constraint Logic Programming;1-21;1994.0;Constraint Programming;1613.0;journals/lncs/1994-910;db/journals/lncs/lncs910.html#Benhamou94;http://dx.doi.org/10.1007/3-540-59155-9_1;;;;;;;
74;75.0;2011-06-14;journals/lncs/WachsmuthG91;Ipke Wachsmuth;Barbara Gängler;;Knowledge Packets and Knowledge Packet Structure.;380-393;1991.0;Text Understanding in LILOG;1613.0;journals/lncs/1991-546;db/journals/lncs/lncs546.html#WachsmuthG91;http://dx.doi.org/10.1007/3-540-54594-8_70;;;;;;;
75;76.0;2011-06-14;journals/lncs/Kirchner94;Hélène Kirchner;;;On the Use of Constraints in Automated Deduction;128-146;1994.0;Constraint Programming;1613.0;journals/lncs/1994-910;db/journals/lncs/lncs910.html#Kirchner94;http://dx.doi.org/10.1007/3-540-59155-9_8;;;;;;;
76;77.0;2011-06-14;journals/lncs/Browne93;Shirley Browne;;;Communication and Synchronization Issues in Distributed Multimedia Database Systems.;381-396;1993.0;Advanced Database Systems;1613.0;journals/lncs/1993-759;db/journals/lncs/lncs759.html#Browne93;http://dx.doi.org/10.1007/3-540-57507-3_19;;;;;;;
77;78.0;2011-06-14;journals/lncs/BorkelG91;Manfred Börkel;Peter Gerstl;;A Knowledge Engineering Environment for LILOG.;482-489;1991.0;Text Understanding in LILOG;1613.0;journals/lncs/1991-546;db/journals/lncs/lncs546.html#BorkelG91;http://dx.doi.org/10.1007/3-540-54594-8_77;;;;;;;
78;79.0;2011-06-14;journals/lncs/SheuP93;Phillip C.-Y. Sheu;Larry J. Peterson;;The Architecture of an Object Base Environment for Simulation.;65-85;1993.0;Advanced Database Systems;1613.0;journals/lncs/1993-759;db/journals/lncs/lncs759.html#SheuP93;http://dx.doi.org/10.1007/3-540-57507-3_4;;;;;;;
79;80.0;2011-06-14;journals/lncs/SchillerS91;Anne Schiller;Petra Steffens;;Morphological Processing in the Two-Level Paradigm.;112-126;1991.0;Text Understanding in LILOG;1613.0;journals/lncs/1991-546;db/journals/lncs/lncs546.html#SchillerS91;http://dx.doi.org/10.1007/3-540-54594-8_56;;;;;;;
80;81.0;2013-07-10;journals/procedia/BuchmayrKK11;Mario Buchmayr;Werner Kurschl;Josef Küng;A Simulator for Generating and Visualizing Sensor Data for Ambient Intelligence Environments.;90-97;2011.0;ANT/MobiWIS;1613.0;conf/ant/2011;db/journals/procedia/procedia5.html#BuchmayrKK11;http://dx.doi.org/10.1016/j.procs.2011.07.014;;;;;;;
81;82.0;2013-06-17;journals/procedia/OgataUSKI12;Keiji Ogata;Kazutaka Ueda;Satoru Suto;Relationship between age-related decline of cognitive functions and willingness to work using a computer.;255-260;2012.0;CSER;1613.0;conf/cser/2012;db/journals/procedia/procedia8.html#OgataUSKI12;http://dx.doi.org/10.1016/j.procs.2012.01.054;Takatsune Kumada;Tohru Ifukube;;;;;
82;83.0;2013-06-05;journals/procedia/TianSCC11;Yingjie Tian;Yong Shi;Xiaojun Chen 0001;AUC Maximizing Support Vector Machines with Feature Selection.;1691-1698;2011.0;ICCS;1613.0;conf/iccS/2011;db/journals/procedia/procedia4.html#TianSCC11;http://dx.doi.org/10.1016/j.procs.2011.04.183;Wenjing Chen;;;;;;
83;84.0;2013-06-17;journals/procedia/BahreiniNW12;Kiavash Bahreini;Rob Nadolski;Wim Westera;FILTWAM - A Framework for Online Affective Computing in Serious Games.;45-52;2012.0;VS-GAMES;1613.0;conf/vsgames/2012;db/journals/procedia/procedia15.html#BahreiniNW12;http://dx.doi.org/10.1016/j.procs.2012.10.057;;;;;;;
84;85.0;2013-07-10;journals/procedia/SanzgiriJU12;Ameya Sanzgiri;Jacob Joyce;Shambhu Upadhyaya;The Early (tweet-ing) Bird Spreads the Worm: An Assessment of Twitter for Malware Propagation.;705-712;2012.0;ANT/MobiWIS;1613.0;conf/ant/2012;db/journals/procedia/procedia10.html#SanzgiriJU12;http://dx.doi.org/10.1016/j.procs.2012.06.090;;;;;;;
85;87.0;2013-11-28;journals/procedia/OmarovaIG12;Amina Omarova;Vernon Ireland;Alex Gorod;An Alternative Approach to Identifying and Appraising Adaptive Loops in Complex Organizations.;56-62;2012.0;Complex Adaptive Systems;1613.0;conf/complexsystems/2012;db/journals/procedia/procedia12.html#OmarovaIG12;http://dx.doi.org/10.1016/j.procs.2012.09.029;;;;;;;
